reportTime,confirmedCases,deaths
2020-02-29T10:30:00-04:00,0,0
2020-03-01T10:30:00-04:00,1,0
2020-03-02T10:30:00-04:00,1,0
2020-03-03T12:00:00-04:00,1,0
2020-03-03T18:00:00-04:00,2,0
2020-03-04T18:00:00-04:00,2,0
2020-03-05T16:00:00-04:00,3,0
2020-03-05T18:00:00-04:00,4,0
2020-03-06T12:00:00-04:00,4,0
2020-03-06T18:00:00-04:00,7,0
2020-03-07T17:30:00-04:00,12,0
2020-03-08T14:30:00-04:00,13,0
2020-03-08T18:00:00-04:00,14,0
2020-03-09T10:30:00-04:00,16,0
2020-03-09T18:00:00-04:00,25,0
2020-03-10T14:30:00-04:00,32,0
2020-03-11T10:30:00-04:00,46,0
2020-03-11T16:00:00-04:00,53,0
2020-03-12T09:30:00-04:00,62,0
2020-03-12T16:00:00-04:00,88,0
2020-03-13T14:00:00-04:00,137,1
2020-03-15T18:00:00-04:00,269,5
2020-03-16T11:30:00-04:00,463,7
2020-03-16T18:00:00-04:00,464,7
2020-03-17T10:30:00-04:00,644,7
2020-03-17T14:30:00-04:00,814,10
2020-03-18T10:00:00-04:00,923,10
2020-03-18T17:30:00-04:00,2009,19
2020-03-19T17:30:00-04:00,3954,26
2020-03-20T17:30:00-04:00,5683,43
2020-03-21T17:30:00-04:00,8115,60
2020-03-22T09:54:00-04:00,8115,63
2020-03-22T18:00:00-04:00,10764,63
2020-03-23T09:35:00-04:00,12339,99
2020-03-23T17:00:00-04:00,13119,125
2020-03-24T09:45:00-04:00,14776,131
2020-03-24T17:00:00-04:00,15597,192
2020-03-25T09:15:00-04:00,16788,199
2020-03-25T17:30:00-04:00,20011,280
2020-03-26T08:45:00-04:00,21873,281
2020-03-26T17:00:00-04:00,23112,365
2020-03-27T08:30:00-04:00,25573,366
2020-03-27T16:00:00-04:00,26697,450
2020-03-28T10:00:00-04:00,29158,517
2020-03-28T16:00:00-04:00,30765,672
2020-03-29T16:09:30-04:00,32308,678
2020-03-29T16:16:15-04:00,33474,776
